Day,Weather,Temperature,Humidity,Wind,Play Football?
Day 1,Cloudy,Hot,High,Weak,Yes
Day 2,Cloudy,Mild,High,Weak,Yes
Day 3,Rain,Cool,Normal,Strong,No
Day 4,Sunny,Mild,Normal,Strong,Yes
Day 5,Sunny,Hot,High,Strong,No
Day 6,Sunny,Hot,High,Weak,No
Day 7,Sunny,Mild,Normal,Strong,Yes
Day 8,Sunny,Mild,High,Strong,No
Day 9,Cloudy,Cool,High,Weak,Yes
Day 10,Cloudy,Mild,Normal,Weak,Yes
Day 11,Rain,Mild,Normal,Weak,Yes
Day 12,Sunny,Mild,High,Strong,No
Day 13,Sunny,Mild,High,Strong,No
Day 14,Rain,Cool,Normal,Strong,No
Day 15,Sunny,Hot,Normal,Strong,Yes
Day 16,Cloudy,Mild,High,Strong,Yes
Day 17,Cloudy,Hot,Normal,Strong,Yes
Day 18,Rain,Mild,High,Strong,No
Day 19,Sunny,Mild,High,Weak,No
Day 20,Sunny,Hot,High,Weak,No
Day 21,Sunny,Mild,High,Weak,No
Day 22,Rain,Mild,High,Weak,Yes
Day 23,Sunny,Hot,Normal,Weak,Yes
Day 24,Cloudy,Hot,Normal,Weak,Yes
Day 25,Sunny,Hot,Normal,Strong,Yes
Day 26,Cloudy,Cool,High,Weak,Yes
Day 27,Rain,Cool,High,Weak,Yes
Day 28,Sunny,Hot,High,Strong,Yes
Day 29,Sunny,Hot,Normal,Weak,Yes
Day 30,Cloudy,Mild,High,Weak,Yes
Day 31,Cloudy,Hot,Normal,Weak,Yes
Day 32,Sunny,Mild,Normal,Strong,Yes
Day 33,Sunny,Hot,Normal,Strong,Yes
Day 34,Sunny,Mild,Normal,Weak,Yes
Day 35,Sunny,Hot,High,Strong,No
Day 36,Sunny,Mild,High,Strong,No
Day 37,Sunny,Mild,Normal,Weak,Yes
Day 38,Sunny,Hot,Normal,Strong,Yes
Day 39,Sunny,Mild,Normal,Strong,Yes
Day 40,Cloudy,Hot,Normal,Strong,Yes
Day 41,Rain,Mild,High,Weak,Yes
Day 42,Sunny,Hot,Normal,Strong,Yes
Day 43,Sunny,Mild,High,Weak,No
Day 44,Sunny,Mild,Normal,Strong,Yes
Day 45,Cloudy,Cool,High,Strong,Yes
Day 46,Rain,Cool,High,Strong,No
Day 47,Cloudy,Cool,Normal,Strong,Yes
