age,have_insurance
56,1
69,1
46,0
32,1
60,1
25,0
78,1
38,1
56,0
75,1
36,0
40,0
28,1
28,1
41,0
70,1
53,1
57,1
41,1
20,0
39,1
70,0
19,1
41,0
61,1
47,0
55,0
19,0
77,1
38,0
50,0
29,0
75,1
39,1
78,1
61,1
42,1
66,1
44,1
76,1
80,1
59,1
45,1
77,1
33,1
32,0
79,1
79,1
64,1
79,1
68,1
61,1
72,1
69,1
74,1
20,0
54,1
68,1
24,1
38,0
26,0
56,1
35,0
21,0
42,0
77,1
31,0
67,1
75,1
26,0
43,1
70,0
19,0
37,0
45,0
64,1
77,1
24,0
61,1
78,1
25,0
64,1
52,1
31,0
34,1
53,1
67,1
57,1
21,0
19,0
79,1
23,0
71,1
59,1
21,0
71,1
46,1
80,1
35,0
