age,gender,region,income_level,have_insurance
56,Female,East,High,1
69,Female,South,Medium,0
46,Male,West,Medium,0
32,Female,North,Medium,0
60,Female,East,Low,1
25,Female,South,Medium,0
38,Female,South,Medium,0
56,Female,East,High,1
36,Female,East,High,0
40,Male,West,High,1
28,Female,North,Low,0
28,Female,North,Low,0
41,Male,East,Low,0
70,Female,East,High,1
53,Male,North,Medium,1
57,Female,North,Medium,1
41,Female,North,Medium,0
20,Female,West,Low,0
39,Female,North,Medium,0
70,Female,South,Low,1
19,Female,North,Medium,0
41,Female,South,Medium,0
61,Female,North,Low,1
47,Female,South,Medium,0
55,Female,North,Low,0
19,Female,West,Low,0
38,Female,North,High,0
50,Male,South,Low,0
29,Female,West,Medium,0
39,Male,East,Low,0
61,Male,South,Medium,1
42,Female,South,High,0
66,Male,South,Medium,1
44,Male,East,Low,0
59,Female,West,Medium,1
45,Female,East,Medium,1
33,Male,East,High,0
32,Male,East,Medium,0
64,Female,South,High,1
68,Female,North,High,1
61,Female,East,Medium,1
72,Female,West,High,1
69,Male,North,Medium,1
74,Female,East,High,1
20,Female,North,Low,0
54,Male,South,High,1
68,Female,North,Medium,0
24,Female,South,Low,0
38,Male,East,Medium,1
26,Male,South,Medium,0
56,Male,East,Low,1
35,Male,East,Low,0
21,Female,West,Medium,0
42,Female,North,Medium,0
31,Male,South,High,0
67,Female,North,High,1
26,Female,West,High,0
43,Female,West,High,1
70,Female,South,Medium,1
19,Female,West,Low,0
37,Female,South,High,1
45,Female,East,Medium,0
64,Female,North,Low,0
24,Male,East,Low,0
61,Male,North,High,1
25,Male,West,Low,0
64,Male,East,Medium,1
52,Female,East,Medium,0
31,Female,North,Medium,1
34,Male,South,Medium,0
53,Male,North,Medium,0
67,Male,South,Low,1
57,Female,North,High,1
21,Female,West,Low,0
19,Female,East,Medium,0
23,Female,South,Medium,0
71,Male,South,Medium,1
59,Male,South,High,0
21,Female,East,Low,0
71,Male,South,High,1
46,Male,West,Medium,0
35,Female,South,Medium,0
43,Female,West,Medium,1
